Manufacturer,Product,Asset No,Serial No,Tags,Age (Years),All Calls,Open Calls,Lifetime Spend,Nominal Replacement Cost,Venue
Adande, VCS1/HC/HS FRIDGE,63010,211903,Refrigeration,7,5,0,154.44,"2,700.00",Surrey
Angelo Po, 0N0FAA 2 Burner Gas range,105379,14124538601,Prime Cooking Burner Range,1,2,0,0.00,"1,019.40",Surrey
Angelo Po, 1N0FT7G Gas Griddle Smooth Compound Plate,105376,13623489601,Prime Cooking Griddle,1,9,0,0.00,"2,167.79",Surrey
Angelo Po, 60SME Electric salamander,88039,92695823901,Prime Cooking Salamander Grill,2,3,0,0.00,"1,865.12",Surrey
Angelo Po, 60SME Electric salamander,105378,14024253401,Prime Cooking Salamander Grill,1,3,0,0.00,"1,182.12",Surrey
Angelo Po, XS51H Underoven blast chiller/freezer 16/10 kg/cycle,105372,14024048901,Refrigeration Blast Chiller,1,2,0,0.00,"2,407.76",Surrey
Aquajet, unknown (pre-rinse),,n,,0,1,1,0.00,,Surrey
Autonumis, GENERIC BOTTLE COOLER,87580,0614JG30799,Refrigeration Bottle Cooler,7,5,0,257.36,800.00,Surrey
Autonumis, RGC-01 Bottle Cooler,87568,05,,4,6,0,353.29,,Surrey
Autonumis, RGC-01 Bottle Cooler,87567,0516RG00105,,4,2,0,107.61,,Surrey
Autonumis, RGC-01 Bottle Cooler,87566,0516RG00104,,4,2,0,0.00,,Surrey
Autonumis, RGC-01 Bottle Cooler,87565,0516RG00106,,4,7,1,0.00,"2,000.00",Surrey
Autonumis, RNC00001 Autonumis Popular Single Door Bottle Cooler,114307,RN00282,Refrigeration Bottle Cooler,1,2,0,81.24,414.46,Surrey
Autonumis," RPC00001 Double door bottle cooler, black with hinged glass doors",107108,0623,Refrigeration Bottle Cooler,0,1,0,0.00,510.90,Surrey
Blue Seal," E33T5 Convection Oven, Electric, Countertop",114309,1877718,Prime Cooking Convection Oven,1,3,0,72.84,"3,271.15",Surrey
CED, CGD1GN Designline Contact Cooled 1/1 GN,105371,,Refrigeration,1,2,0,0.00,,Surrey
,,105384,,Extraction/ Canopy,1,0,0,0.00,,Surrey
,,,n,Extraction/ Canopy,0,0,0,0.00,,Surrey
Falcon, G2845F Gas Fryer Programmable Controls,105370,F632636,Prime Cooking Fryer,1,8,1,0.00,"4,320.00",Surrey
Falcon, G2845F Gas Fryer Programmable Controls,105367,F632635,Prime Cooking Fryer,1,8,1,0.00,"4,320.00",Surrey
Falcon, G2845F Gas Fryer Programmable Controls,105368,F632634,Prime Cooking Fryer,1,7,0,0.00,"4,320.00",Surrey
Falcon, G2845F Gas Fryer Programmable Controls,105369,F634990,Prime Cooking Fryer,1,2,0,125.00,,Surrey
Falcon," G94120 Charbroiler, Gas, Counter Unit",114310,F629895,Prime Cooking Chargrill,1,13,0,0.00,"4,172.73",Surrey
Flamefast, Ansul system for Addlestone Ansul fire suppression system,105382,S4183835,Fire Suppression,1,0,0,0.00,"4,080.00",Surrey
Fogtrap, FOG80 Fat Oil and Grease Interceptor Unit,105388,,Grease Trap,1,0,0,0.00,510.00,Surrey
Foster, EP700H Upright Fridge,55524,E5356724,Refrigeration Upright Fridge,7,5,0,0.00,,Surrey
Foster, FFC6-2 Double stacked refrigerator/freezer,105354,E6017825,Refrigeration Fridge/ Freezer,1,1,0,0.00,"3,388.12",Surrey
